;storm_code;shear_kt;sst_c;rh_pct;heat_content;storm_bearing_deg;storm_motion_kt;lat_hurdat2;lon_hurdat2;lat_s;lon_s
1358;AL062021;35;26.1;40;0;300;8;21.3;-33.7;21.3;-33.7
1359;AL062021;35;26.2;39;0;300;9;21.8;-34.9;21.8;-34.9
1360;AL062021;32;26.4;39;0;290;10;21.9;-36;21.9;-36
1361;AL062021;30;26.5;38;0;275;9;22;-36.9;22;-36.8
1362;AL062021;36;26.7;36;13;280;9;22.2;-37.9;22.2;-37.9
1363;AL062021;41;26.8;34;15;280;9;22.4;-38.7;22.4;-38.7
1364;AL062021;40;27;36;16;290;9;22.7;-39.6;22.7;-39.6
1365;AL062021;38;27.2;39;16;290;10;23;-40.6;23.1;-40.6
1366;AL062021;35;27.3;40;18;290;9;23.3;-41.5;23.3;-41.5
1367;AL062021;31;27.4;37;19;290;9;23.5;-42.2;23.6;-42.3
1368;AL062021;25;27.4;39;20;285;7;23.8;-42.9;23.7;-42.9
1369;AL062021;20;27.6;45;22;330;9;24.5;-43.3;24.5;-43.3
1370;AL062021;19;27.7;47;19;10;7;25.3;-43.2;25.2;-43.1
1371;AL072021;8;28.3;64;7;285;14;12.2;-24.4;12.2;-24.6
1372;AL072021;9;28.3;62;6;285;12;12.3;-25.7;12.5;-25.7
1373;AL072021;6;28.3;59;7;280;12;12.4;-26.9;12.7;-26.9
1374;AL072021;10;28.5;56;8;270;11;12.5;-28;12.3;-28
1375;AL072021;5;28.5;54;6;280;11;12.7;-29.2;12.7;-29.2
1376;AL072021;5;28.3;51;6;280;13;12.9;-30.5;13.1;-30.5
1377;AL072021;5;28;48;9;280;13;13.2;-31.9;13.2;-31.8
1378;AL072021;3;27.8;48;11;275;13;13.5;-33.4;13.4;-33.1
1379;AL072021;11;28.1;45;11;280;15;13.7;-35;13.6;-35.1
1380;AL072021;15;28.1;42;10;280;16;13.8;-36.7;14;-36.7
1381;AL072021;16;28.1;43;10;275;17;13.9;-38.4;13.9;-38.4
1382;AL072021;18;28.1;44;8;275;17;14;-40.1;14;-40.1
1383;AL072021;21;28.1;42;9;275;17;14;-41.8;14.2;-41.9
1384;AL072021;20;27.9;40;19;275;16;14;-43.4;14.3;-43.4
1385;AL072021;19;27.8;42;24;275;16;14;-44.9;14.5;-45
1386;AL072021;19;28;44;26;270;15;14;-46.4;14.2;-46.4
1387;AL082021;18;28.7;42;16;0;0;30.8;-61.2;30.9;-61.4
1388;AL082021;19;28.7;45;15;120;3;30.8;-61;30.7;-60.9
1389;AL082021;19;28.7;44;15;115;3;30.9;-60.8;30.6;-60.6
1390;AL082021;19;28.5;44;12;0;4;31.2;-60.8;31.1;-60.6
1391;AL082021;17;28.6;50;13;320;3;31.6;-60.9;31.1;-61.1
1392;AL082021;19;28.1;51;6;0;7;32.2;-60.9;32.1;-60.9
1393;AL082021;18;27.7;50;5;5;10;33.2;-60.9;33.2;-60.8
1394;AL082021;13;27.5;53;11;5;11;34.3;-60.7;34.2;-60.8
1395;AL082021;6;27.4;55;16;5;12;35.7;-60.3;35.5;-60.6
1396;AL092015;9;28;57;15;340;7;14.5;-43.7;14.6;-43
1397;AL092015;6;28;56;27;310;8;15;-44.4;15;-44.4
1398;AL092015;13;27.9;59;22;305;9;15.3;-44.8;15.5;-44.9
1399;AL092015;19;28;58;15;325;6;15.6;-45;16;-45.1
1400;AL092015;17;28;59;17;325;4;15.9;-45.1;15.9;-45.2
1401;AL092015;17;28;58;13;0;3;16.3;-45.1;16.2;-45
1402;AL092015;24;28;61;9;0;4;16.8;-45.2;17;-45
1403;AL092015;28;28.1;57;10;340;6;17.3;-45.8;17.3;-45.4
1404;AL092015;29;28.2;52;18;290;7;17.6;-46.6;17.5;-46.6
1405;AL092015;31;28.2;52;20;295;5;17.9;-47.3;17.7;-47
1406;AL092015;33;28.3;55;25;290;7;18.1;-48.1;18.1;-47.9
1407;AL092015;33;28.4;53;27;290;10;18.3;-48.8;18.4;-49
1408;AL092015;34;28.4;51;27;280;4;18.5;-49.4;18.4;-49.4
1409;AL092021;2;27.8;76;25;285;8;13.2;-36.4;13;-36.4
1410;AL092021;4;27.8;76;27;285;7;13.4;-37;13.2;-37
1411;AL092021;9;27.7;75;25;305;5;13.7;-37.6;13.6;-37.3
1412;AL092021;9;27.7;71;24;305;8;14.1;-38.4;14.1;-38
1413;AL092021;11;27.8;69;20;295;10;14.6;-39.4;14.5;-39.2
1414;AL092021;12;27.8;71;13;300;12;15.1;-40.6;15.3;-40.3
1415;AL092021;11;27.9;70;9;290;13;15.6;-41.9;15.7;-41.9
1416;AL092021;13;27.9;67;8;295;14;16.2;-43.1;16.3;-43
1417;AL092021;16;28;66;13;295;14;16.9;-44.4;16.8;-44.3
1418;AL092021;17;28.2;65;15;305;15;17.8;-45.6;17.9;-45.6
1419;AL092021;11;28.3;68;20;310;13;18.8;-46.5;18.6;-46.6
1420;AL092021;8;28.5;69;19;315;10;19.7;-47.3;19.5;-47.2
1421;AL092021;8;28.5;68;16;325;8;20.5;-48.1;20.2;-47.7
1422;AL092021;10;28.9;68;19;320;10;20.9;-48.7;21;-48.5
1423;AL092021;7;29.1;67;34;315;9;21.3;-48.9;21.6;-49.5
1424;AL092021;9;29;66;22;105;5;21.4;-48.5;21.4;-48.8
1425;AL092021;18;28.8;63;17;90;2;21.4;-47.9;21;-48
1426;AL092021;20;28.7;61;17;125;6;21.1;-47.4;20.6;-48
1427;AL092021;30;28.5;60;11;90;2;20.9;-47.2;21;-46.9
1428;AL092021;30;28.4;55;13;180;2;20.6;-47.2;20.5;-47.2
1429;AL092021;30;28.3;50;14;180;3;20.3;-47.2;20;-47.2
1430;AL092021;22;28.2;47;12;175;3;19.9;-46.9;19.9;-46.8
1431;AL092021;18;28.1;47;9;100;5;19.7;-46.4;19.8;-46.3
1432;AL092021;23;27.9;45;11;110;5;19.7;-45.7;19.5;-45.7
1433;AL092021;25;27.8;45;13;85;6;20;-45.2;20;-44.9
1434;AL092021;21;28.1;42;16;45;6;20.5;-45;21;-45
1435;AL092021;25;28.2;42;15;330;5;21;-45;21.2;-45.2
1436;AL092021;24;28.3;43;17;330;3;21.4;-45;21.5;-45.3
1437;AL092021;21;28.3;43;19;0;3;21.8;-45.1;21.9;-45
1438;AL092021;19;28.5;42;20;350;4;22.2;-45.2;22.3;-45.3
1439;AL092021;22;28.6;42;21;345;3;22.6;-45.5;22.5;-45.4
1440;AL092021;20;28.8;41;21;325;6;23.1;-45.8;23;-45.8
1441;AL092021;18;29.1;39;19;330;7;23.6;-46.2;23.9;-46.2
1442;AL092021;18;29.2;35;19;320;7;24;-46.7;24.2;-46.8
1443;AL092021;19;29.3;34;19;285;4;24.3;-47.2;24.2;-47.2
1444;AL092021;15;29.4;34;19;280;5;24.5;-47.7;24.3;-47.8
1445;AL092021;15;29.5;37;20;285;5;24.6;-48.1;24.7;-48.2
1446;AL092021;18;29.5;38;19;275;4;24.5;-48.7;24.6;-48.5
1447;AL112015;14;29.7;73;52;335;2;27.4;-69;27.4;-68.6
1448;AL112015;20;29.7;70;57;305;1;27.6;-69.3;27.3;-68.8
1449;AL112015;24;29.5;69;52;295;2;27.7;-69.7;27.6;-69.1
1450;AL112015;21;29.6;65;54;270;5;27.4;-70;27.5;-70
1451;AL112015;23;29.8;63;60;200;5;26.9;-70.1;26.8;-70.2
1452;AL112015;22;29.8;62;57;265;4;26.5;-70.3;26.6;-70.4
1453;AL112015;23;29.8;60;53;260;4;26.2;-70.5;26.5;-70.6
1454;AL112015;19;29.9;59;47;220;4;26;-70.8;26;-70.8
1455;AL112015;18;29.9;58;43;240;5;25.8;-71.3;25.8;-71.5
1456;AL112015;15;29.9;59;47;250;4;25.4;-71.8;25.6;-72
1457;AL112015;19;29.9;60;51;220;6;24.9;-72.2;24.8;-72.3
1458;AL112015;23;29.8;60;54;225;7;24.4;-72.5;24.5;-72.9
1459;AL112015;20;29.7;61;56;215;5;23.9;-72.9;23.9;-73
1460;AL112015;16;29.7;59;56;230;5;23.5;-73.3;23.5;-73.5
1461;AL112015;15;29.7;61;56;220;5;23.1;-73.7;23.1;-73.7
1462;AL112015;15;29.7;62;58;235;5;23;-74.2;23;-74.2
1463;AL112015;14;29.8;64;59;250;4;22.9;-74.4;22.9;-74.4
1464;AL112015;5;29.8;64;62;280;3;23;-74.7;23;-74.7
1465;AL112015;10;29.8;63;45;320;3;23.4;-74.8;23.3;-74.8
1466;AL112015;7;29.8;63;25;0;5;23.8;-74.7;23.8;-74.8
1467;AL112015;13;29.8;61;39;20;5;24.3;-74.3;24.3;-74.3
1468;AL112015;19;29.8;60;50;45;9;24.8;-73.6;24.9;-73.7
1469;AL112015;27;29.9;63;58;50;9;25.4;-72.6;25.6;-72.6
1470;AL112015;27;29.8;66;31;55;14;26.3;-71;26.4;-71
1471;AL112015;28;29.6;69;37;55;17;27.4;-69.5;27.4;-69.5
1472;AL112015;28;29.1;71;22;45;18;28.9;-68.3;29;-68.2
1473;AL112015;25;28.7;68;5;40;18;30.4;-67.2;30.4;-67.1
1474;AL112015;13;28.2;69;3;15;14;31.6;-66.5;31.7;-66.6
1475;AL112015;16;27.9;62;4;30;12;32.6;-66;32.6;-65.8
1476;AL112015;17;27.6;59;6;30;12;33.6;-65.6;33.6;-65.4
1477;AL112015;11;26.7;55;3;25;11;34.4;-65.2;34.6;-64.9
1478;AL112015;10;26.7;52;3;25;10;35.3;-64.5;35.4;-64.3
1479;AL112015;13;26.7;50;5;35;12;36.2;-63.6;36.4;-63.4
1480;AL112015;16;26.7;53;8;45;13;37;-62.3;37.1;-62.1
1481;AL112015;17;26.8;55;5;55;15;37.9;-60.4;37.9;-60.4
1482;AL112015;22;26.7;57;2;60;17;38.8;-58;38.8;-58
1483;AL112015;24;26.3;52;0;65;25;39.6;-54.9;39.6;-54.9
1484;AL112015;30;24.9;49;0;75;27;40.3;-51.5;40.2;-51.3
1485;AL112015;38;22.2;47;0;75;30;41;-47.5;40.8;-47.6
1486;AL112015;37;22.1;43;0;75;32;41.5;-43.3;41.3;-43.2
1487;AL112015;48;20.4;41;0;80;31;41.9;-39.1;41.9;-39.1
1488;AL102021;8;28.7;64;53;305;12;22.8;-72.6;22.7;-72.4
1489;AL102021;7;28.5;62;69;295;12;23.4;-73.7;23.2;-73.7
1490;AL102021;4;28.3;63;56;305;13;24.1;-74.8;24.1;-74.8
1491;AL102021;5;28;65;30;310;12;25;-75.7;25;-75.7
1492;AL102021;10;27.6;66;37;350;15;26.4;-76.2;26.7;-76.1
1493;AL102021;14;27.1;65;33;0;14;28;-76.2;28;-76.1
1494;AL102021;17;26.5;62;10;25;16;29.5;-75.4;29.5;-75.4
1495;AL102021;21;25.9;55;0;35;21;31.2;-74;31.2;-74
1496;AL102021;28;24.9;53;0;50;28;33.1;-71.3;33.1;-71.3
1497;AL102021;33;25.1;56;0;50;33;35.2;-67.6;35.2;-67.6
1498;AL102021;37;24.2;63;0;65;39;36.2;-62.5;36.2;-62.5
1499;AL102021;42;24.6;66;0;65;38;37.6;-58.2;37.6;-58.2
1500;AL102021;50;24.5;65;0;65;37;38.9;-55;39.3;-54.3
1501;AL102021;46;23.2;68;0;60;29;40;-52;40.3;-51.6
1502;AL012022;18;21.7;55;0;45;13;27.9;-30.4;27.9;-30.4
1503;AL012022;9;19.8;55;0;15;19;32.5;-28;32.6;-28
1504;AL012022;20;19.1;55;0;10;16;33.9;-27.6;33.8;-27.8
1505;AL012022;17;17.5;56;0;10;19;35.4;-27.2;35.8;-27.1
1506;AL012022;12;15.8;57;0;10;22;38;-27;38.4;-26.9
1507;AL012022;21;14.8;63;0;0;35;41.5;-27.7;41.5;-27.7
1508;AL022022;19;25.3;57;0;295;11;28.3;-74.4;28.2;-74.2
1509;AL022022;22;25;52;0;300;10;28.8;-75.5;28.8;-75.2
1510;AL022022;13;25.8;48;0;300;12;29.4;-76.7;29.5;-76.5
1511;AL022022;13;26.1;48;0;300;13;30;-78;30;-78
1512;AL022022;23;25.3;50;5;310;11;30.7;-79.1;30.8;-79.1
1513;AL022022;24;25;52;7;300;5;31;-79.4;30.9;-79.4
1514;AL022022;21;24.4;58;4;0;6;31.7;-79.4;31.5;-79.4
1515;AL022022;22;23.3;64;0;355;9;32.7;-79.7;32.7;-79.7
1516;AL022022;20;22.7;62;0;330;2;33;-80.3;33.1;-80.4
1517;AL022022;20;22.8;59;0;160;1;32.7;-80.3;32.9;-80.3
1518;AL022022;17;23.3;57;0;85;5;33.1;-80;32.9;-79.6
1519;AL022022;19;23.6;57;0;55;2;33.3;-79.8;33.5;-79.7
1520;AL022022;14;24.2;52;0;120;3;33.1;-78.8;32.9;-79
1521;AL022022;2;23.4;58;1;60;7;35.1;-75.4;34.9;-75.4
1522;AL022022;6;23;60;0;45;5;35.4;-75;35.3;-75.1
1523;AL022022;10;23;60;0;45;4;35.6;-74.5;35.6;-74.6
1524;AL022022;8;23.4;62;1;70;6;35.7;-73.7;35.7;-73.7
1525;AL022022;6;23.7;64;0;80;8;35.9;-72.6;35.9;-72.5
1526;AL022022;12;23.7;61;0;85;10;35.9;-71.4;35.9;-71.2
1527;AL022022;20;23.4;59;0;90;10;35.9;-70.2;35.9;-70.1
1528;AL022022;27;22.9;58;0;90;10;35.9;-68.9;35.9;-68.8
1529;AL022022;24;22.6;60;0;95;12;35.6;-67.3;35.7;-67.2
1530;AL022022;24;22.4;55;0;110;12;35.1;-65.9;35.1;-65.9
1531;AL022022;34;22.3;52;0;105;12;34.8;-64.6;34.8;-64.5
1532;AL032022;22;27.7;79;12;0;10;22.4;-87.9;22.7;-88.1
1533;AL032022;19;27.7;80;15;0;8;23.2;-87.8;23.2;-87.8
1534;AL032022;20;27.9;78;21;10;10;24.6;-87.6;24.4;-87.6
1535;AL032022;23;28.3;76;53;10;17;26.4;-87.3;26.4;-87.3
1536;AL032022;28;28;72;7;20;20;28.1;-86.1;28.2;-86.2
1537;AL032022;29;27.6;67;6;40;19;29.4;-84.3;29.3;-84.6
1538;AL032022;38;26.5;63;13;55;24;30.7;-82.1;30.7;-82.1
1539;AL032022;45;25.6;58;0;55;29;33.2;-78.5;33.4;-78.2
1540;AL032022;53;23.9;56;1;50;35;35.5;-74.4;35.4;-74.5
1541;AL052022;15;29.4;73;23;275;6;19.8;-95.1;20;-95.1
1542;AL052022;15;29.3;75;20;275;6;20;-95.5;20.1;-95.7
1543;AL052022;12;29.3;74;22;285;5;20.7;-96.1;20.6;-96
1544;AL052022;13;29.2;71;17;310;8;21.3;-96.8;21.2;-96.7
1545;AL052022;14;29;70;2;280;7;21.1;-97.8;21.2;-97.5
1546;AL052022;13;29.1;70;12;250;10;20.8;-98.7;20.8;-98.7
1547;AL062022;11;29;65;37;270;18;16.3;-80.8;16.3;-80.8
1548;AL062022;13;29.2;71;33;280;14;16.4;-82.2;16.4;-82.3
1549;AL062022;12;29.2;71;33;275;12;16;-83.1;16;-83.1
1550;AL062022;13;29.5;69;32;270;11;16.3;-84.3;16.3;-84.3
1551;AL062022;11;29.7;71;36;280;10;16.9;-85.4;16.9;-85.4
1552;AL062022;8;29.8;75;36;280;13;17.3;-86.9;17.3;-86.9
1553;AL062022;10;30.1;74;9;280;14;17.4;-88.3;17.4;-88.3
1554;AL062022;17;30.1;73;51;270;13;17.4;-89.4;17.3;-89.4
1555;AL062022;14;30;76;20;270;9;17.6;-90.3;17.4;-90.3
1556;AL062022;12;30;77;45;290;9;18;-91.2;18;-91.2
1557;AL062022;16;29.8;78;45;285;10;18.3;-92.3;18.3;-92.3
1558;AL062022;18;29.5;78;4;285;11;18.5;-93.5;18.5;-93.6
1559;AL062022;15;29.4;77;14;280;11;18.7;-94.7;18.7;-94.7
1560;AL062022;13;29.4;79;28;270;9;18.9;-95.6;18.8;-95.6
1561;AL062022;15;29.6;78;36;275;9;19;-96.5;19;-96.5
1562;AL062022;13;29.8;79;27;275;9;19;-97.5;19;-97.5
1563;AL072022;9;27.7;63;17;310;13;12.4;-33.6;12.2;-33.6
1564;AL072022;9;27.4;62;13;305;13;12.9;-34.8;12.9;-34.7
1565;AL072022;5;27;61;10;305;13;13.7;-36;13.6;-35.8
1566;AL072022;1;26.8;57;8;305;14;14.5;-37.3;14.7;-37.2
1567;AL072022;3;26.8;57;9;300;14;15.2;-38.5;15.2;-38.5
1568;AL072022;6;26.8;60;6;300;14;15.7;-39.4;15.8;-39.6
1569;AL072022;9;26.8;59;6;300;7;16.1;-40.1;16.2;-40.2
1570;AL072022;13;26.7;58;7;305;8;16.5;-40.8;16.7;-40.9
1571;AL072022;13;26.8;57;10;305;7;16.9;-41.5;16.9;-41.4
1572;AL072022;13;26.8;52;14;300;9;17.3;-42.3;17.3;-42.2
1573;AL072022;16;26.9;49;17;295;8;17.7;-43.1;17.6;-43
1574;AL072022;20;27;46;13;295;8;18;-43.9;18;-43.9
1575;AL072022;19;27.2;47;10;295;10;18.5;-44.9;18.4;-45
1576;AL072022;19;27.4;45;11;295;11;19.2;-46.1;18.9;-46.1
1577;AL072022;27;27.6;40;12;300;12;20;-47.2;20;-47.2
1578;AL072022;32;27.8;38;12;305;13;20.8;-48.4;20.9;-48.5
1579;AL072022;30;27.8;40;20;305;13;21.5;-49.6;21.5;-49.6
1580;AL072022;31;27.8;41;19;290;13;22.1;-51.1;21.9;-51
1581;AL072022;33;28;39;21;290;15;22.6;-52.6;22.6;-52.6
1582;AL072022;32;28.2;38;27;290;15;23.1;-54.2;23.1;-54.2
1583;AL072022;31;28.4;41;23;290;16;23.7;-55.9;23.7;-55.9
1584;AL072022;30;28.7;42;25;290;16;24.2;-57.6;24.2;-57.6
1585;AL072022;27;29.2;42;27;285;16;24.5;-59.1;24.5;-59.1
1586;AL072022;22;29.5;45;35;285;15;25;-60.5;24.9;-60.7
1587;AL072022;22;29.7;51;43;290;13;25.3;-61.7;25.3;-61.6
1588;AL072022;21;29.8;54;46;290;11;25.6;-62.9;25.6;-62.9
1589;AL072022;15;29.9;57;43;290;11;25.9;-64;25.9;-64
1590;AL082022;9;28;71;8;280;18;12;-28.2;12;-28.2
1591;AL082022;10;28;70;12;285;17;12.5;-29.9;12.4;-29.9
1592;AL082022;11;27.9;71;14;285;17;13;-31.6;12.9;-31.6
1593;AL082022;8;27.7;67;8;285;18;13.5;-33.4;13.5;-33.7
1594;AL082022;5;27.5;66;9;285;17;13.9;-35;13.9;-35.1
1595;AL082022;2;27.2;66;11;290;16;14.2;-36.5;14.4;-36.5
1596;AL082022;8;27.1;68;13;285;15;14.8;-37.9;14.6;-38
1597;AL082022;11;26.8;71;10;295;13;15.8;-39.1;15.6;-38.9
1598;AL082022;13;26.6;70;7;315;14;16.9;-40.2;16.8;-39.9
1599;AL082022;16;26.6;70;12;315;16;18;-41.4;18.1;-41.5
1600;AL082022;20;26.8;68;15;310;15;18.9;-42.7;18.9;-42.7
1601;AL082022;21;27.1;69;11;310;15;19.8;-44;19.8;-43.9
1602;AL082022;22;27.4;69;6;315;15;21;-45;21;-45
1603;AL082022;27;27.5;66;5;320;15;22.3;-46;22.2;-45.9
1604;AL082022;26;27.6;67;9;320;15;23.6;-47;23.4;-47
1605;AL082022;22;27.8;62;21;330;15;24.8;-47.9;24.7;-47.7
1606;AL082022;12;28.1;57;32;320;15;25.8;-49.1;25.8;-49.1
1607;AL082022;13;28.4;55;33;315;14;26.7;-50.3;26.6;-50.3
1608;AL082022;10;28.7;50;24;310;14;27.5;-51.5;27.6;-51.5
1609;AL082022;6;29;47;23;300;13;28.1;-52.8;28.1;-52.8
1610;AL082022;6;29.1;45;24;310;13;28.7;-53.6;28.9;-53.7
1611;AL082022;8;29.2;43;26;305;8;29.3;-54.2;29.2;-54.1
1612;AL082022;10;29.2;39;27;325;8;29.9;-54.5;29.9;-54.5
1613;AL082022;7;29.1;41;28;330;5;30.3;-54.7;30.3;-54.7
1614;AL082022;4;29.1;41;30;320;5;30.5;-55;30.6;-55
1615;AL082022;8;29.1;38;31;305;3;30.6;-55.2;30.6;-55.2
1616;AL082022;8;29.1;37;31;0;1;30.7;-55.3;30.7;-55.2
1617;AL082022;8;29.1;39;28;315;1;30.8;-55.4;30.8;-55.4
1618;AL082022;5;29.1;38;26;0;3;31.1;-55.4;31.1;-55.4
1619;AL082022;8;29;36;23;45;5;31.4;-54.9;31.4;-54.9
1620;AL082022;9;28.9;37;21;55;5;31.7;-54.4;31.7;-54.4
1621;AL082022;13;28.8;39;16;60;7;32;-53.5;32;-53.4
1622;AL082022;13;28.6;38;18;65;9;32.4;-52.5;32.4;-52.5
1623;AL082022;17;28.6;35;10;70;9;32.7;-51.5;32.6;-51.5
1624;AL082022;17;28.5;35;5;65;9;33.1;-50.5;33.1;-50.6
1625;AL082022;14;28.2;34;6;65;12;33.7;-49.2;33.6;-49.2
1626;AL082022;17;27.8;33;5;55;15;34.5;-47.9;34.5;-47.8
1627;AL082022;24;27.3;33;2;50;16;35.5;-46.3;35.6;-46.3
1628;AL082022;18;26.9;37;2;55;17;36.3;-44.3;36.4;-44.5
1629;AL082022;17;26.1;39;6;65;21;37.1;-42;37.2;-42
1630;AL082022;21;25;39;0;70;26;37.8;-39.5;38;-39.1
1631;AL082022;23;24.8;38;0;70;21;38.2;-37;38.2;-37
1632;AL082022;22;24.7;40;0;75;18;38.5;-35;38.4;-35.3
1633;AL082022;20;24.3;39;0;80;16;38.9;-33;38.7;-33.1
1634;AL082022;22;23.7;41;0;70;16;39.3;-31.2;39.3;-31.2
1635;AL082022;31;23.3;43;0;70;14;39.7;-29.5;39.7;-29.6
1636;AL082022;34;23;47;0;70;14;40.2;-27.8;40.2;-27.8
1637;AL082016;18;29.4;45;31;280;9;31.7;-70.6;31.6;-70.7
1638;AL082016;15;29.3;43;28;285;9;32;-71.7;32;-71.7
1639;AL082016;12;29.3;45;27;295;9;32.4;-72.6;32.4;-72.7
1640;AL082016;15;29;47;28;310;8;32.9;-73.2;33;-73.2
1641;AL082016;17;29;50;34;310;6;33.4;-73.8;33.4;-73.8
1642;AL082016;18;29;49;36;315;5;33.7;-74.5;33.7;-74
1643;AL082016;12;29;49;39;305;4;33.9;-75;33.8;-74.6
1644;AL082016;9;29;50;39;330;4;34.2;-75;34;-75
1645;AL082016;16;28.9;52;38;335;3;34.4;-74.9;34.2;-75.2
1646;AL082016;17;28.8;54;40;40;3;34.6;-74.7;34.4;-74.7
1647;AL082016;18;28.7;55;39;40;3;34.8;-74.5;34.7;-74.4
1648;AL082016;17;28.5;59;38;45;5;35.2;-73.8;35.2;-73.8
1649;AL082016;29;28.3;60;30;45;11;35.9;-72.7;35.9;-72.7
1650;AL082016;33;28.6;63;47;60;14;36.8;-71.2;36.2;-71.2
1651;AL102022;13;29.8;69;39;260;8;23.4;-82.4;23.4;-82.3
1652;AL102022;16;29.8;67;63;265;9;23.4;-83.3;23.4;-83.5
1653;AL102022;14;30.2;70;63;280;7;23.5;-84;23.6;-84.1
1654;AL102022;11;30.3;71;55;285;4;23.7;-84.6;23.8;-84.5
1655;AL102022;13;30.2;68;42;280;6;23.8;-85.4;23.9;-85.3
1656;AL102022;18;30.1;64;46;270;7;23.8;-86.2;23.7;-86.4
1657;AL102022;12;30.1;66;47;280;6;23.9;-86.8;23.9;-86.9
1658;AL102022;10;30.3;68;48;315;5;24;-87.3;24.3;-87.1
1659;AL102022;10;30.3;65;49;290;4;24.1;-87.8;24.2;-87.7
1660;AL102022;13;30.4;65;48;290;3;24.4;-88;24.3;-88.1
1661;AL102022;11;30.6;68;49;0;0;24.8;-87.9;24.6;-88
1662;AL102022;13;30.5;67;42;20;5;25.1;-87.7;25.3;-87.8
1663;AL102022;13;30.4;64;38;25;8;25.5;-87.2;25.5;-87.1
1664;AL102022;13;30.3;62;36;30;5;26;-86.8;26;-87
1665;AL102022;12;30.2;63;37;30;12;26.9;-86.2;27;-86.2
1666;AL102022;11;30.3;65;38;35;12;27.9;-85.5;28;-85.4
1667;AL102022;15;30.3;64;25;30;12;29;-84.8;29.1;-84.8
1668;AL102022;14;30;64;12;30;12;30.3;-84;30.2;-84
1669;AL102022;15;29.2;59;0;40;16;31.4;-82.8;31.4;-82.8
1670;AL102022;26;29.2;53;36;50;17;32.4;-81.2;32.5;-81.3
1671;AL102022;36;29.3;50;43;50;19;33.6;-79.2;33.7;-79.3
1672;AL102022;42;28.6;42;49;50;19;34.9;-77.2;35;-77.3
1673;AL102022;42;28.2;41;3;55;18;35.8;-75.5;35.9;-75.5
1674;AL102022;43;28.2;47;20;80;12;36;-74.1;36;-74.1
1675;AL102022;49;28.2;52;48;80;12;36.3;-72.6;36.3;-72.6
1676;AL102022;50;28.6;55;69;75;12;36.7;-71.3;36.6;-71.3
1677;AL102022;49;28.5;56;28;70;11;36.9;-70.1;37;-70
1678;AL102022;48;28.4;54;25;70;6;37;-69;37.2;-69.3
1679;AL102022;50;28.1;53;26;80;6;37.2;-68.4;37.2;-68.3
1680;AL102022;47;28.2;54;26;10;3;37.8;-68.2;37.3;-68.4
1681;AL102022;41;27;51;8;10;5;38.6;-68.5;38.4;-68.4
1682;AL102022;35;25.9;49;0;315;6;39.2;-69.3;39.1;-69.2
1683;AL102022;28;25.8;40;0;300;8;39.5;-70.3;39.3;-70.3
1684;AL102022;14;25.5;37;0;290;8;39.6;-71.2;39.6;-71.3
1685;AL102022;8;25.7;40;0;270;6;39.5;-71.8;39.5;-71.7
1686;AL092022;20;28;55;19;320;12;21.2;-50.2;21.4;-50
1687;AL092022;24;28;53;22;330;11;22.2;-50.6;22.4;-50.5
1688;AL092022;29;28.1;53;26;325;10;23;-51.2;23;-51.2
1689;AL092022;30;28.2;53;31;330;8;23.9;-51.7;23.5;-51.5
1690;AL092022;34;28.5;52;33;330;10;24.8;-52.1;24.8;-52.1
1691;AL092022;37;28.7;50;23;341;14;26;-52.4;26.3;-52.5
1692;AL092022;37;28.6;49;18;345;12;27.3;-52.6;27.1;-52.6
1693;AL092022;31;28.2;49;15;350;13;28.9;-53;28.6;-52.9
1694;AL092022;29;26.9;55;5;355;18;30.5;-53.5;31;-53
1695;AL092022;26;26.8;54;6;350;16;32.1;-53.8;32.1;-53.8
1696;AL092022;29;26.8;53;18;10;12;33.5;-53.5;33.3;-53.6
1697;AL092022;21;27;52;11;15;16;34.9;-53;34.9;-53
1698;AL092022;18;26.9;52;6;30;18;36.3;-51.5;36.3;-51.5
1699;AL092022;22;26.3;52;0;40;25;38.3;-49.2;38.3;-49.2
1700;AL092022;30;22.7;45;0;30;33;41.2;-46.8;41.2;-47
1701;AL092022;28;21.9;44;0;40;35;44;-42.8;43.2;-42.9
1702;AL092022;24;17.9;46;0;40;47;46.8;-38.6;46.3;-38
1703;AL132022;21;28;68;17;350;9;29.8;-81.5;29.9;-81.5
1704;AL132022;24;28;61;13;340;8;30.5;-81.7;30.6;-81.8
1705;AL132022;19;27.9;62;22;10;6;31.3;-81.5;31.2;-81.7
1706;AL132022;19;28;60;20;40;7;31.8;-80.7;31.9;-80.7
1707;AL132022;23;28.2;57;21;45;7;31.9;-80.1;32;-80
1708;AL132022;25;28.2;54;21;70;1;31.9;-79.5;31.9;-79.9
1709;AL132022;25;28.5;51;25;100;5;31.9;-78.7;31.8;-78.8
1710;AL132022;28;28.5;51;41;85;9;31.9;-77.9;32.1;-77.5
1711;AL132022;27;28.7;51;49;100;7;31.5;-77.2;31.5;-77.3
1712;AL132022;25;28.9;50;43;135;6;31.2;-76.6;31.1;-76.8
1713;AL132022;25;28.9;48;33;105;7;31.1;-75.9;31.1;-75.8
1714;AL132022;24;28.9;46;32;110;3;30.9;-75.7;31;-75.6
1715;AL132022;24;29.2;46;42;150;3;30.4;-76;30.3;-76.2
1716;AL132022;25;29.2;44;44;220;3;30.3;-76.1;30.1;-76.4
